# author: Omar Dajani, Oct 2023
# sample data for use with the plot_3vars.py file
Problem Size,sum_direct,sum_vector,sum_indirect
8388608,14048.05,2922.49,289.00
16777216,13937.33,3828.34,314.76
33554432,14051.12,3781.32,163.92
67108864,14023.91,3822.70,170.15
134217728,14036.49,4105.31,168.95
268435456,14038.03,4143.53,165.82
